Trial Day,Date,724908,724921,724922,724930,724949
1,11/22/2020,600.4166667,577.5555556,584.7936508,597.7222222,644.0444444
2,11/23/2020,604.0833333,593.1111111,595.2222222,606.0555556,656.3333333
3,11/24/2020,608.5,604,605.8888889,619.2777778,663.8333333
4,11/25/2020,612.0238095,605.8888889,613.4222222,630.1111111,668.2777778
5,11/26/2020,618.2904762,602.6666667,612.4888889,622.9206349,670.1031746
6,11/27/2020,616.9904762,592.8888889,608.3619048,624.5873016,666.6031746
7,11/28/2020,616.9666667,586.5555556,605.8285714,633.6984127,671.4642857
8,11/29/2020,615.5333333,582.5555556,610.3452381,645.8888889,681.3055556
9,11/30/2020,613.8888889,593.9166667,608.0833333,650.0277778,687.9722222
10,12/1/2020,616.3888889,595.5833333,611.8166667,626.4166667,693.7777778
11,12/2/2020,621.8055556,595.1944444,612.9,620.4166667,684.5555556
12,12/3/2020,631.8055556,591.1111111,616.9,615.1666667,684.4603175
13,12/4/2020,629.3293651,602.7777778,618.5,637.5,678.1269841
14,12/5/2020,629.4126984,614.6111111,620.11,651.5,683.6825397
15,12/6/2020,627.5238095,613.7777778,621.71,660,690.2777778
16,12/7/2020,630.5833333,611.4444444,623.32,651.7666667,698.7222222
17,12/8/2020,640.6666667,613.2222222,625.8444444,642.7666667,702.5
18,12/9/2020,648,609.3,626.53,648.98,698.4
19,12/10/2020,643.75,610.68,628.13,650.41,695.8333333
20,12/11/2020,632.3333333,612.09,626.7777778,640.6,701.89
21,12/12/2020,634.9166667,632.5555556,630.8253968,657.6666667,711.1666667
22,12/13/2020,630.45,629.5555556,630.4642857,664.6666667,711.1666667
23,12/14/2020,631.3833333,630,639.1865079,667.5,713.4444444
24,12/15/2020,631.5777778,619,638.8055556,656.4166667,703.1111111
25,12/16/2020,639.6,617.6666667,638.9444444,658.25,696.7777778
26,12/17/2020,646.5,618.2380952,640.6666667,661.1388889,698.4
27,12/18/2020,644.6388889,620.5714286,645.8888889,667.3333333,702.2333333
28,12/19/2020,653.0833333,626.6547619,650.3333333,669.8333333,716.9
29,12/20/2020,663,634.3333333,649.0555556,673.2777778,732.5
30,12/21/2020,669.4166667,624.3333333,653.25,684.1666667,731.0833333
31,12/22/2020,671.2833333,611.1388889,650.9166667,680.9666667,722.4166667
32,12/23/2020,665.7555556,599.5555556,648.75,681.3555556,713.3055556
33,12/24/2020,660.0888889,604.5555556,644.2222222,665.5222222,705.0222222
34,12/25/2020,663.7777778,634.3333333,654.3888889,668.7222222,726.27
35,12/26/2020,657.5555556,644,659.7222222,663.8333333,720.8
36,12/27/2020,665.8888889,645,659.5,673,724.5777778
37,12/28/2020,666.3333333,629.3333333,657,688.3333333,735.4444444
38,12/29/2020,676.5128205,630.3333333,653.1666667,694.0952381,720
39,12/30/2020,681.8461538,635.7777778,656.9242424,690.7619048,729.3333333
40,12/31/2020,686.0683761,645.1111111,658.0353535,684.4285714,735
41,1/1/2021,685.0555556,644.6111111,657.4020202,691.6666667,759.8333333
42,1/2/2021,678.8888889,646.75,654.6444444,698.6666667,740.2
43,1/3/2021,668.3333333,645.4166667,655.4666667,697,775.8333333
44,1/4/2021,671.5,651.5833333,669.6,693.8333333,779.1666667
45,1/5/2021,672.8095238,655,678.9333333,696.8333333,770.6666667
46,1/6/2021,676.9206349,649.8333333,678.3333333,696.1666667,756
47,1/7/2021,678.9873016,663.75,672.3888889,699,758.3333333
48,1/8/2021,690.9277778,658.25,677.2222222,698,750.65
49,1/9/2021,694.4833333,671.75,683.5555556,697.5,759.1666667
50,1/10/2021,696.8833333,654.39,694.2333333,699.5,760.3888889
51,1/11/2021,696.5333333,661.1666667,691.4,704.4333333,761.7222222
52,1/12/2021,699.45,669.3333333,690.3333333,714.4888889,768.3888889
53,1/13/2021,705.5388889,663.3333333,678.3777778,715.5555556,780.75
54,1/14/2021,691.9055556,659.2666667,674.2111111,710.7888889,786.75
55,1/15/2021,694.9055556,665.2666667,679.5,710.9,787.75
56,1/16/2021,696.1277778,665.35,690.7222222,714.6666667,782.1111111
57,1/17/2021,701.3611111,658.75,696.3333333,721.5,781.9444444
58,1/18/2021,697.5111111,646.8611111,686.5555556,708.1666667,781.2777778
59,1/19/2021,685.2148148,638.7777778,687.4444444,695.4,774
60,1/20/2021,684.6592593,647.8611111,688.2,692.9,772.5
61,1/21/2021,692.0925926,655.4166667,703.3111111,696.4,773.28
62,1/22/2021,701.8611111,661.5833333,709.9222222,702.5333333,777.25
63,1/23/2021,702.6666667,661.9444444,707.8555556,706.6047619,783.25
64,1/24/2021,701.25,658.9444444,705.2333333,717.9380952,788.75
65,1/25/2021,696.5,664.1111111,698.1777778,723.0714286,779.1666667
66,1/26/2021,697.1759259,661.4074074,702.9931624,721.9166667,777.25
67,1/27/2021,702.0925926,671.1851852,690.0598291,717.6388889,783.0833333
68,1/28/2021,709.0925926,680.0740741,686.4153846,715.3055556,795.25
69,1/29/2021,711,699.7777778,691.9111111,712.3333333,807.9444444
70,1/30/2021,714.6666667,700.5,715.3777778,719.3111111,798.5277778
71,1/31/2021,725.6333333,697.2777778,733.5777778,724.1444444,808.25
72,2/1/2021,745.4,684.3888889,736.1333333,729.0333333,804.6722222
73,2/2/2021,740.5111111,680.7777778,731,726.8333333,793.7555556
74,2/3/2021,729.5111111,675.4444444,722,729.3333333,788.6666667
75,2/4/2021,715.0777778,667.2222222,717.4285714,727.6666667,780.9666667
76,2/5/2021,722.0333333,660.1111111,708.8035714,724.5714286,792.3
77,2/6/2021,720.9,672.8611111,699.8452381,721.5952381,793.1666667
